focus,A,actual_dist,,Pred_dist,Tenegrad_Score
800,1.8,500,,500,156259660
800,1.8,600,,600.00006,166821466
800,1.8,700,,700,390858276
800,1.8,800,,799.99994,752696060
800,1.8,900,,899.99994,260958752
800,1.8,1000,,999.9999,120029426
800,1.8,1100,,1099.9999,98887834
800,2,500,,500,173144660
800,2,600,,600.00006,317257626
800,2,700,,700,1080169622
800,2,800,,799.99994,5968481414
800,2,900,,899.99994,864778066
800,2,1000,,999.9999,285005210
800,2,1100,,1099.9999,106726218
800,2.2,500,,500,161666432
800,2.2,600,,600.00006,210939824
800,2.2,700,,700,405441870
800,2.2,800,,799.99994,3283302034
800,2.2,900,,899.99994,709547642
800,2.2,1000,,999.9999,266320650
800,2.2,1100,,1099.9999,92439938
800,2.5,500,,500,176666418
800,2.5,600,,600.00006,247623996
800,2.5,700,,700,447576830
800,2.5,800,,799.99994,2539664406
800,2.5,900,,899.99994,618331458
800,2.5,1000,,999.9999,301046518
800,2.5,1100,,1099.9999,128420770
800,2.8,500,,500,181101460
800,2.8,600,,600.00006,236032118
800,2.8,700,,700,429195112
800,2.8,800,,799.99994,1478284272
800,2.8,900,,899.99994,1579970118
800,2.8,1000,,999.9999,470430820
800,2.8,1100,,1099.9999,253008182
800,3.2,500,,500,295768310
800,3.2,600,,600.00006,188453796
800,3.2,700,,700,512316174
800,3.2,800,,799.99994,2216236212
800,3.2,900,,899.99994,360815834
800,3.2,1000,,999.9999,160709488
800,3.2,1100,,1099.9999,85887526
800,3.5,500,,500,262293414
800,3.5,600,,600.00006,347599134
800,3.5,700,,700,797222410
800,3.5,800,,799.99994,4492830948
800,3.5,900,,899.99994,1300975896
800,3.5,1000,,999.9999,545510306
800,3.5,1100,,1099.9999,361037624
800,4,500,,500,238397490
800,4,600,,600.00006,332577218
800,4,700,,700,685387612
800,4,800,,799.99994,4225942720
800,4,900,,899.99994,1205931292
800,4,1000,,999.9999,512207296
800,4,1100,,1099.9999,327205702
800,4.5,500,,500,284187628
800,4.5,600,,600.00006,387474206
800,4.5,700,,700,581042422
800,4.5,800,,799.99994,3448715382
800,4.5,900,,899.99994,1458398032
800,4.5,1000,,999.9999,758633572
800,4.5,1100,,1099.9999,478494286
800,5,500,,500,364561508
800,5,600,,600.00006,478283096
800,5,700,,700,875533358
800,5,800,,799.99994,1801686176
800,5,900,,899.99994,962773006
800,5,1000,,999.9999,623246102
800,5,1100,,1099.9999,435242056
800,5.6,500,,500,382118268
800,5.6,600,,600.00006,525236034
800,5.6,700,,700,857341836
800,5.6,800,,799.99994,1944747336
800,5.6,900,,899.99994,917118828
800,5.6,1000,,999.9999,599851502
800,5.6,1100,,1099.9999,493893850
800,6.3,500,,500,437258396
800,6.3,600,,600.00006,647770732
800,6.3,700,,700,1148356646
800,6.3,800,,799.99994,1752501574
800,6.3,900,,899.99994,1620659254
800,6.3,1000,,999.9999,581249616
800,6.3,1100,,1099.9999,666664026
800,7.1,500,,500,428692958
800,7.1,600,,600.00006,499890598
800,7.1,700,,700,1033485664
800,7.1,800,,799.99994,2100356826
800,7.1,900,,899.99994,1602901246
800,7.1,1000,,999.9999,1279292982
800,7.1,1100,,1099.9999,719627224
800,8,500,,500,493620860
800,8,600,,600.00006,707886046
800,8,700,,700,1279651572
800,8,800,,799.99994,1621947116
800,8,900,,899.99994,1842922996
800,8,1000,,999.9999,1568996238
800,8,1100,,1099.9999,991479150
800,9,500,,500,644198566
800,9,600,,600.00006,863461946
800,9,700,,700,1920582732
800,9,800,,799.99994,1686766938
800,9,900,,899.99994,1004687666
800,9,1000,,999.9999,734883350
800,9,1100,,1099.9999,998090620
800,10,500,,500,643105988
800,10,600,,600.00006,1700894174
800,10,700,,700,2713620956
800,10,800,,799.99994,1832544480
800,10,900,,899.99994,1277096576
800,10,1000,,999.9999,864707180
800,10,1100,,1099.9999,691739918
800,11,500,,500,721376258
800,11,600,,600.00006,855956028
800,11,700,,700,1117240664
800,11,800,,799.99994,1299555732
800,11,900,,899.99994,1061785702
800,11,1000,,999.9999,1159950538
800,11,1100,,1099.9999,844939238
800,13,500,,500,811457994
800,13,600,,600.00006,1137037930
800,13,700,,700,1352449582
800,13,800,,799.99994,1972791442
800,13,900,,899.99994,1841668008
800,13,1000,,999.9999,1086932316
800,13,1100,,1099.9999,841013316
800,14,500,,500,963358580
800,14,600,,600.00006,1422804446
800,14,700,,700,1820380036
800,14,800,,799.99994,3126644774
800,14,900,,899.99994,1801761506
800,14,1000,,999.9999,1659341798
800,14,1100,,1099.9999,1213751350
800,16,500,,500,1014861406
800,16,600,,600.00006,1236168822
800,16,700,,700,2079828754
800,16,800,,799.99994,1786515198
800,16,900,,899.99994,1059655392
800,16,1000,,999.9999,734354904
800,16,1100,,1099.9999,114398050